INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'train_set_size': 2000, 'opt_iterations': 10000, 'opt_samples': 3, 'opt_initial_points': 20, 'child_epochs': 50, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:61, 0.4396666666931576, ['clouds', 0.47922132380006766, 'additive-gaussian-noise', 0.06058615764409671, 'sharpen', 0.7802172933279515, 0.5038706456826114]
INFO:root:62, 0.46033333320087855, ['dropout', 0.7687389021664015, 'brighten', 0.3200392531918637, 'sharpen', 0.8223892591741351, 0.7569341825986374]
INFO:root:63, 0.4322222222752041, ['translate-x', 0.6278585728891424, 'additive-gaussian-noise', 0.8743686045805799, 'sharpen', 0.4806100294599268, 0.615454885048962]
INFO:root:64, 0.4303333332803514, ['rotate', 0.13490544466247203, 'additive-gaussian-noise', 0.19951446750939833, 'sharpen', 0.512688702494712, 0.2557855171736871]
INFO:root:65, 0.4525555556880103, ['additive-gaussian-noise', 0.9641709651127132, 'additive-gaussian-noise', 0.08181499227320178, 'sharpen', 0.6265276725125704, 0.422558767015187]
INFO:root:66, 0.4810000003443824, ['rotate', 0.9893386559983681, 'additive-gaussian-noise', 0.22469927404830364, 'crop', 0.48676788684771144, 0.7995587284323534]
INFO:root:67, 0.44099999973509046, ['invert', 0.9566480646386567, 'additive-gaussian-noise', 0.18071572962064011, 'sharpen', 0.43863026487080214, 0.0614647017466038]
INFO:root:68, 0.45244444420602586, ['dropout', 0.9885986561639591, 'translate-x', 0.2913638118635941, 'brighten', 0.3477948869475897, 0.5005187089246173]
INFO:root:69, 0.36966666666666664, ['emboss', 0.3019225903702519, 'additive-gaussian-noise', 0.05194451312287986, 'sharpen', 0.4591210665838795, 0.4738880277444122]
INFO:root:70, 0.4076666667991215, ['dropout', 0.9851772709008763, 'additive-gaussian-noise', 0.9994220250662303, 'gaussian-blur', 0.05215754882407665, 0.12440468313580169]
INFO:root:71, 0.4695555556880103, ['invert', 0.5424606092034954, 'additive-gaussian-noise', 0.24782468514509598, 'sharpen', 0.5031543314818436, 0.6429273814311111]
INFO:root:72, 0.4640000001059638, ['emboss', 0.9804228633500323, 'sharpen', 0.027776540016681513, 'sharpen', 0.1537232255861283, 0.4724337485371616]
